,Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,SS_NetRtg,SS_ORtg,SS_DRtg,NCSOS_NetRtg
0,1.0,Duke,ACC,39.4,129.1,89.7,66.3,-0.043,9.18,112.8,103.7,9.96
1,2.0,Auburn,SEC,37.67,130.7,93.0,68.6,0.063,18.31,117.2,98.9,11.0
2,3.0,Houston,B12,35.14,124.4,89.2,61.3,-0.001,13.2,113.4,100.2,3.25
3,4.0,Florida,SEC,33.97,126.8,92.9,69.5,-0.005,12.32,113.4,101.1,-1.18
4,5.0,Tennessee,SEC,31.4,118.5,87.1,64.0,0.03,14.83,116.7,101.9,-0.36
5,6.0,Alabama,SEC,29.44,127.3,97.8,75.0,0.029,18.25,117.7,99.5,12.59
6,7.0,Texas Tech,B12,27.59,124.3,96.7,65.9,-0.047,10.9,111.9,101.0,-4.19
7,8.0,Gonzaga,WCC,27.25,125.1,97.9,70.4,-0.092,7.05,111.5,104.5,9.83
8,9.0,Michigan St.,B10,26.9,118.1,91.2,67.8,-0.001,12.74,114.3,101.6,0.54
9,10.0,Wisconsin,B10,26.73,124.0,97.2,67.8,-0.044,13.32,114.6,101.2,0.72
10,11.0,Iowa St.,B12,26.49,119.5,93.0,69.0,-0.021,11.94,113.3,101.3,-0.89
11,12.0,Missouri,SEC,25.81,126.2,100.4,68.4,-0.031,11.42,112.9,101.4,-8.69
12,13.0,Arizona,B12,25.16,120.1,95.0,70.3,-0.053,15.47,115.5,100.1,6.06
13,14.0,Maryland,B10,24.8,118.5,93.7,70.1,-0.035,9.85,113.1,103.3,-9.94
14,15.0,St. John's,BE,24.66,113.8,89.1,70.2,-0.026,8.48,111.8,103.3,0.33
15,16.0,Purdue,B10,24.65,124.1,99.4,65.4,-0.005,15.98,116.0,100.0,10.85
16,17.0,Clemson,ACC,24.61,120.9,96.3,64.1,-0.03,8.71,112.6,103.9,4.4
17,18.0,Kentucky,SEC,24.41,125.3,100.9,70.9,-0.019,18.0,117.0,99.0,4.74
18,19.0,Illinois,B10,24.28,121.9,97.6,71.6,-0.035,16.06,115.2,99.1,3.68
19,20.0,Saint Mary's,WCC,23.57,117.1,93.5,62.2,0.015,5.7,111.4,105.7,5.8
20,21.0,Kansas,B12,23.42,115.2,91.7,68.9,-0.037,15.29,115.1,99.8,8.68
21,22.0,Texas A&M,SEC,22.99,115.9,93.0,66.8,0.011,16.15,115.8,99.7,7.77
22,23.0,Marquette,BE,22.56,118.2,95.7,67.6,0.006,11.36,113.1,101.7,9.28
23,24.0,Louisville,ACC,22.53,118.8,96.3,69.2,0.051,10.38,113.4,103.0,7.74
24,25.0,BYU,B12,22.3,123.4,101.1,67.3,0.01,9.93,111.6,101.6,-6.81
25,26.0,Mississippi,SEC,22.08,118.0,96.0,68.4,0.007,14.35,114.9,100.6,0.07
26,27.0,UCLA,B10,21.69,116.8,95.1,65.0,-0.005,12.77,114.2,101.4,-4.22
27,28.0,VCU,A10,21.26,116.9,95.7,66.6,-0.059,0.77,107.4,106.6,-3.27
28,29.0,Michigan,B10,21.18,117.1,95.9,69.9,0.073,13.35,114.1,100.8,4.43
29,30.0,Mississippi St.,SEC,20.38,119.0,98.6,68.0,0.059,15.29,115.8,100.5,1.73
30,31.0,Baylor,B12,20.32,121.1,100.7,65.4,-0.046,15.45,114.1,98.6,8.09
31,32.0,Ohio St.,B10,19.55,118.1,98.5,67.6,-0.064,14.81,115.4,100.6,3.7
32,33.0,Oregon,B10,19.53,117.7,98.2,68.1,0.085,14.36,115.1,100.8,4.67
33,34.0,Georgia,SEC,18.95,115.5,96.6,66.8,-0.002,13.94,114.2,100.3,-4.53
34,35.0,UC San Diego,BW,18.57,116.2,97.7,66.3,0.003,-1.25,106.6,107.9,-1.64
