Year,School ,Conference  ,Host Region,"Place (1st, 2nt, 3rd)"
1939,Ohio State,Big Ten,East,2
1939,Oklahoma,Big Six,West,3
1939,Oregon,Pacific Coast,West,1
1939,Villanova,Independent,East,3
1940,Duquesne,Independent,East,3
1940,Indiana,Big Ten,East,1
1940,Kansas,Big Six,West,2
1940,USC,Pacific Coast,West,3
1941,Arkansas,Southwest,West,3
1941,Pittsburgh,Eastern,East,3
1941,Washington State,Pacific Coast,West,2
1941,Wisconsin,Big Ten,East,1
1942,Colorado,Mountain States,West,3
1942,Dartmouth,Ivy League,East,2
1942,Kentucky,Southeastern,East,3
1942,Stanford,Pacific Coast,West,1
1943,DePaul,Independent,East,3
1943,Georgetown,Independent,East,2
1943,Texas,Southwest,West,3
1943,Wyoming,Mountain States,West,1
1944,Dartmouth,EIL (Ivy),East,2
1944,Iowa State,Big Six,West,3
1944,Ohio State,Big Ten,East,3
1944,Utah,Mountain States,West,1
1945,Arkansas,Southwest,West,3
1945,NYU,Independent,East,2
1945,Ohio State,Big Ten,East,3
1945,Oklahoma A&M,Missouri Valley,West,1
1946,California,Pacific Coast,West,3
1946,North Carolina,Southern,East,2
1946,Ohio State,Big Ten,East,3
1946,Oklahoma A&M,Missouri Valley,West,1
1947,CCNY,Independent,East,3
1947,Holy Cross,Independent,East,1
1947,Oklahoma,Big Six,West,2
1947,Texas,Southwest,West,3
1948,Baylor,Southwest,West,2
1948,Holy Cross,Independent,East,3
1948,Kansas State,Big Seven,West,3
1948,Kentucky,Southeastern,East,1
1949,Illinois,Big Ten,East,3
1949,Kentucky,Southeastern,East,1
1949,Oklahoma A&M,Missouri Valley,West,2
1949,Oregon State,Pacific Coast,West,3
1950,Baylor,Southwest,West,3
1950,Bradley,Missouri Valley,West,2
1950,CCNY,Independent,East,1
1950,NC State,Southern,East,3
1951,Illinois,Big Ten,East,3
1951,Kansas State,Big Seven,West,2
1951,Kentucky,Southeastern,East,1
1951,Oklahoma A&M,Missouri Valley,West,3
1952,Illinois,Big Ten,East,3
1952,Kansas,Big Seven,West,1
1952,Santa Clara,Independent,West,3
1952,St. John's,Independent,East,2
1953,Indiana,Big Ten,East,1
1953,Kansas,Big Seven,West,2
1953,LSU,Southeastern,East,3
1953,Washington,Pacific Coast,West,3
1954,Bradley,Independent,West,2
1954,La Salle,Independent (Mid Atlantic),East,1
1954,Penn State,Independent,East,3
1954,USC,Pacific Coast,West,3
1955,Colorado,Big Seven,West,3
1955,Iowa,Big Ten,East,3
1955,La Salle,Independent (Mid Atlantic),East,2
1955,San Francisco,West Coast,West,1
1956,Iowa,Big Ten,Midwest,2
1956,San Francisco,West Coast,Far West,1
1956,SMU,Southwest,West,3
1956,Temple,Independent (Mid Atlantic),East,3
1957,Kansas,Big Seven,Midwest,2
1957,Michigan State,Big Ten,Mideast,3
1957,North Carolina,Atlantic Coast,East,1
1957,San Francisco,West Coast,West,3
1958,Kansas State,Big Seven,Midwest,3
1958,Kentucky,Southeastern,Mideast,1
1958,Seattle,Independent,West,2
1958,Temple,Independent (Mid Atlantic),East,3
1959,California,Pacific Coast,West,1
1959,Cincinnati,Missouri Valley,Midwest,3
1959,Louisville,Independent,Mideast,3
1959,West Virginia,Southern,East,2
1960,California,AAWU,West,2
1960,Cincinnati,Missouri Valley,Midwest,3
1960,NYU,Independent,East,3
1960,Ohio State,Big Ten,Mideast,1
1961,Cincinnati,Missouri Valley,Midwest,1
1961,Ohio State,Big Ten,Mideast,2
1961,St. Joseph's*,Middle Atlantic,East,3
1961,Utah,Mountain States,West,3
1962,Cincinnati,Missouri Valley,Midwest,1
1962,Ohio State,Big Ten,Mideast,2
1962,UCLA,AAWU,West,3
1962,Wake Forest,Atlantic Coast,East,3
1963,Cincinnati,Missouri Valley,Midwest,2
1963,Duke,Atlantic Coast,East,3
1963,Loyola-Chicago,Independent,Mideast,1
1963,Oregon State,Independent,West,3
1964,Duke,Atlantic Coast,East,2
1964,Kansas State,Big Eight,Midwest,3
1964,Michigan,Big Ten,Mideast,3
1964,UCLA,AAWU,West,1
1965,Michigan,Big Ten,Mideast,2
1965,Princeton,Ivy,East,3
1965,UCLA,AAWU,West,1
1965,Wichita State,Missouri Valley,Midwest,3
1966,Duke,Atlantic Coast,East,3
1966,Kentucky,Southeastern,Mideast,2
1966,Texas Western,Independent,Midwest,1
1966,Utah,Western Athletic,West,3
1967,Dayton,Independent,Mideast,2
1967,Houston,Independent,Midwest,3
1967,North Carolina,Atlantic Coast,East,3
1967,UCLA,AAWU,West,1
1968,Houston,Independent,Midwest,3
1968,North Carolina,Atlantic Coast,East,2
1968,Ohio State,Big Ten,Mideast,3
1968,UCLA,AAWU,West,1
1969,Drake,Missouri Valley,Midwest,3
1969,North Carolina,Atlantic Coast,East,3
1969,Purdue,Big Ten,Mideast,2
1969,UCLA,Pacific-8,West,1
1970,Jacksonville,Independent,Mideast,2
1970,New Mexico State,Independent,Midwest,3
1970,St. Bonaventure,Independent,East,3
1970,UCLA,Pacific-8,West,1
1971,Kansas,Big Eight,Midwest,3
1971,UCLA,Pacific-8,West,1
1971,Villanova*,Independent,East,2
1971,Western Kentucky*,Ohio Valley,Mideast,3
1972,Florida State,Independent,Mideast,2
1972,Louisville,Missouri Valley,Midwest,3
1972,North Carolina,Atlantic Coast,East,3
1972,UCLA,Pacific-8,West,1
1973,Indiana,Big Ten,Mideast,3
1973,Memphis State,Missouri Valley,Midwest,2
1973,Providence,Independent,East,3
1973,UCLA,Pacific-8,West,1
1974,Kansas,Big Eight,Midwest,3
1974,Marquette,Independent,Mideast,2
1974,NC State,Atlantic Coast,East,1
1974,UCLA,Pacific-8,West,3
1975,Kentucky,Southeastern,Mideast,2
1975,Louisville,Missouri Valley,Midwest,3
1975,Syracuse,Independent (ECAC Up),East,3
1975,UCLA,Pacific-8,West,1
1976,Indiana,Big Ten,Mideast,1
1976,Michigan,Big Ten,Midwest,2
1976,Rutgers,Independent (ECAC Met),East,3
1976,UCLA,Pacific-8,West,3
1977,Marquette,Independent,Midwest,1
1977,North Carolina,Atlantic Coast,East,2
1977,UNC Charlotte,Sun Belt,Mideast,3
