Team,Record,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
Auburn,0.931,9.36,55.41,104.83,27.34,2.82,43.9,44.31,1.35,0.65
Houston,0.867,9.04,54.54,96.58,34.72,2.92,40.85,41.25,0.62,0.38
Duke,0.9,9.04,54.38,101.1,30.04,2.73,38.82,39.23,0.67,0.33
Alabama,0.793,8.93,52.7,110.61,18.85,2.97,44.63,45.25,0.95,1.05
Tennessee,0.828,8.92,52.6,96.22,33.14,2.93,41.64,41.6,1.61,0.39
Florida,0.862,8.9,51.46,103.98,24.23,2.92,40.93,41.49,1.17,0.83
Michigan St,0.828,8.77,49.53,97.63,28.66,2.96,41.05,41.26,1.32,0.68
St John's,0.867,8.71,48.07,99.29,25.54,2.76,39.18,39.65,0.38,0.62
Iowa St,0.759,8.67,49.97,98.73,27.99,2.9,41.45,41.6,1.37,0.63
Wisconsin,0.759,8.63,48.76,99.6,25.92,2.81,41.59,41.51,1.48,0.52
Texas Tech,0.759,8.61,49.48,99.62,26.61,2.89,40.58,40.51,1.55,0.45
Purdue,0.69,8.6,50.87,100.06,27.57,2.93,42.62,42.81,1.3,0.7
Marquette,0.759,8.58,48.53,99.17,26.11,2.88,40.72,41.31,0.97,1.03
Arizona,0.655,8.56,50.86,103.14,24.48,2.96,42.83,42.95,1.35,0.65
Maryland,0.759,8.54,48.21,98.37,26.6,2.86,39.62,39.95,1.23,0.77
Clemson,0.828,8.53,46.81,97.18,26.38,2.83,38.21,37.98,1.65,0.35
Kentucky,0.655,8.53,49.2,105.87,20.09,2.94,43.26,43.27,1.33,0.67
St Mary's CA,0.871,8.53,47.05,92.65,31.15,2.78,34.94,34.94,0.0,0.0
Michigan,0.759,8.51,45.93,98.89,23.8,2.92,41.61,42.11,0.8,1.2
Connecticut,0.69,8.51,50.17,99.8,27.12,2.66,40.55,40.49,1.56,0.44
Gonzaga,0.742,8.49,51.59,105.09,23.26,2.81,37.85,37.85,0.0,0.0
Texas A&M,0.69,8.49,47.05,96.47,27.33,2.77,42.37,42.78,0.91,1.09
Illinois,0.633,8.48,49.57,104.06,22.26,2.84,42.63,42.81,0.55,0.45
Kansas,0.633,8.48,48.88,98.47,27.16,2.93,42.98,43.15,0.53,0.47
UCLA,0.7,8.45,46.77,94.35,29.17,2.87,40.98,40.88,0.76,0.24
Oregon,0.724,8.45,45.35,98.14,23.96,3.0,41.68,41.62,1.27,0.73
Creighton,0.69,8.43,47.3,98.51,25.55,2.95,41.11,40.92,1.51,0.49
BYU,0.724,8.43,47.18,100.56,23.38,2.92,39.86,40.29,1.06,0.94
Memphis,0.828,8.42,44.3,99.58,21.47,2.79,38.12,37.69,1.7,0.3
Mississippi St,0.69,8.41,46.27,98.26,24.76,2.88,41.3,41.54,1.09,0.91
Missouri,0.724,8.39,45.54,100.73,21.56,2.86,39.87,40.31,0.95,1.05
Baylor,0.586,8.39,48.19,99.92,25.02,2.96,42.75,43.12,0.99,1.01
Louisville,0.793,8.36,42.61,97.36,22.0,2.88,39.54,39.21,1.48,0.52
