Team,Rat,Pwr,Off,Def,HFA,SoS,SSF,EW,EL
South Carolina,9.31,82.62,107.94,39.76,2.65,64.04,64.04,0.0,0.0
Texas,9.2,78.03,104.66,38.45,2.6,61.14,61.14,0.0,0.0
Connecticut,9.07,79.81,106.92,37.96,2.59,58.64,58.64,0.0,0.0
UCLA,8.96,73.64,102.49,36.22,2.57,60.13,60.13,0.0,0.0
USC,8.92,72.5,103.73,33.84,2.59,60.53,60.53,0.0,0.0
Notre Dame,8.85,75.16,107.54,32.69,2.6,61.39,61.39,0.0,0.0
LSU,8.71,72.28,107.34,30.02,2.56,59.2,59.2,0.0,0.0
TCU,8.57,67.84,99.94,32.97,2.68,56.89,56.89,0.0,0.0
NC State,8.56,70.73,103.94,31.87,2.63,59.57,59.57,0.0,0.0
Duke,8.49,71.5,99.41,37.17,2.76,60.35,60.35,0.0,0.0
Oklahoma,8.49,70.23,109.14,26.16,2.64,60.24,60.24,0.0,0.0
Ohio St,8.47,70.12,104.32,30.87,2.71,57.83,57.83,0.0,0.0
Baylor,8.44,71.71,103.35,33.43,2.8,56.83,56.83,0.0,0.0
Tennessee,8.4,70.68,108.68,27.07,2.7,60.76,60.76,0.0,0.0
Kansas St,8.38,70.15,101.84,33.38,2.75,56.42,56.42,0.0,0.0
West Virginia,8.35,70.36,99.73,35.7,2.73,56.1,56.1,0.0,0.0
Maryland,8.34,67.25,105.82,26.5,2.86,58.86,58.86,0.0,0.0
North Carolina,8.33,66.98,96.72,35.34,2.78,57.45,57.45,0.0,0.0
Iowa,8.28,69.96,104.76,30.28,2.62,60.27,60.27,0.0,0.0
Alabama,8.26,67.17,101.14,31.1,2.62,57.55,57.55,0.0,0.0
Utah,8.21,67.25,101.92,30.41,2.73,57.3,57.3,0.0,0.0
Mississippi,8.21,67.59,97.88,34.79,2.52,59.37,59.37,0.0,0.0
Oklahoma St,8.21,65.52,99.01,31.59,2.86,54.44,54.44,0.0,0.0
Kentucky,8.2,64.0,98.73,30.34,2.72,58.27,58.27,0.0,0.0
Florida St,8.2,66.26,107.49,23.85,2.78,57.41,57.41,0.0,0.0
Michigan St,8.19,67.25,103.26,29.06,2.75,57.89,57.89,0.0,0.0
Louisville,8.17,65.89,100.24,30.72,2.69,60.09,60.09,0.0,0.0
Creighton,8.11,63.28,99.61,28.75,2.6,55.06,55.06,0.0,0.0
Iowa St,8.11,66.87,103.44,28.51,2.81,58.14,58.14,0.0,0.0
Michigan,8.1,65.37,100.77,29.67,2.66,58.45,58.45,0.0,0.0
Vanderbilt,8.02,64.19,103.22,26.04,2.7,57.16,57.16,0.0,0.0
Indiana,8.0,66.31,98.75,32.64,2.81,58.16,58.16,0.0,0.0
California,7.99,60.26,97.17,28.16,2.67,56.52,56.52,0.0,0.0
Mississippi St,7.95,64.13,100.31,28.89,2.8,56.45,56.45,0.0,0.0
Georgia Tech,7.91,62.28,98.52,28.84,2.69,55.8,55.8,0.0,0.0
Oregon,7.9,61.66,94.59,32.15,3.03,57.88,57.88,0.0,0.0
Illinois,7.88,60.29,96.24,29.13,2.61,55.64,55.64,0.0,0.0
Stanford,7.87,65.84,101.94,28.98,2.81,58.13,58.13,0.0,0.0
Nebraska,7.84,61.84,99.91,27.0,2.87,56.19,56.19,0.0,0.0
Virginia Tech,7.84,63.54,101.15,27.46,2.77,56.31,56.31,0.0,0.0
S Dakota St,7.83,58.39,94.99,28.47,2.8,46.5,46.5,0.0,0.0
Colorado,7.74,61.27,97.34,29.01,2.8,55.23,55.23,0.0,0.0
Washington,7.71,60.62,95.49,30.2,2.65,55.58,55.58,0.0,0.0
Minnesota,7.68,59.56,96.3,28.33,2.77,53.4,53.4,0.0,0.0
Richmond,7.68,57.24,94.67,27.65,2.6,47.58,47.58,0.0,0.0
Arizona,7.65,60.08,94.4,30.76,2.74,54.15,54.15,0.0,0.0
UNLV,7.6,57.85,96.25,26.67,2.63,46.06,46.32,0.64,0.36
Columbia,7.6,57.49,96.27,26.29,2.6,47.05,46.59,0.98,0.02
Kansas,7.59,58.7,94.51,29.26,2.81,56.17,56.17,0.0,0.0
