rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Gonzaga,WCC,28-4,120.30703841195596,4,89.88654207088734,9,0.9661780232682203,1,28,4,13,1,13-1,0.599843714679272,0.49326565779422044,0.6153069400376131,0.599843714679272,0.49326565779422044,0.6153069400376131,0.7388513118981275,0.7728612082720473,104.80004403921212,99.2819308490305,104.80004403921212,99.2819308490305,120.3622315494132,88.21926681836032,139.28415271067982,103.01820845184713,0.9697786465648196,13,-0.0005345117933991395,1271.0,942.0,1063.55,1.195054299280711,0.8857129425038786,0,0.9285714285714286,6.708091638196641,10,176,72.64401539935822
2,Houston,Amer,32-6,116.5422927460136,10,88.4977576386267,6,0.9595223538677091,2,32,6,15,3,15-3,0.6692390018682004,0.560315867499366,0.6777952027744469,0.6692390018682004,0.560315867499366,0.6777952027744469,0.7441051097998732,0.8209625162163837,105.83181955013868,98.25512323653443,105.83181955013868,98.25512323653443,116.42121653008208,91.27773607012708,113.56713054163458,93.47662928217815,0.903684471122769,11,-0.027529949459816683,1320.0,1099.0,1188.0375,1.1110760392664374,0.9250549751165262,0,0.8333333333333334,6.155887165707534,13,234,63.71559458075696
3,Kansas,B12,34-6,119.79061067658547,5,91.27023715947291,13,0.9579963106422189,3,34,6,14,4,14-4,0.7796654694433233,0.6265375509067597,0.8678024164916917,0.7796654694433233,0.6265375509067597,0.8678024164916917,0.632438220443923,0.7955226281749357,108.03688698203118,94.70356977260052,108.03688698203118,94.70356977260052,119.90519917577775,93.46824256761062,124.93949445550567,96.51218180665066,0.9511465847445685,24,0.06035176898325845,1352.0,1244.0,1254.3000000000002,1.0778920513433785,0.9917882484254165,0,0.7777777777777778,10.402537886785785,1,56,69.11297981736395
4,Texas Tech,B12,27-10,110.51094209686468,41,85.4098840513139,1,0.9508746071123579,4,27,10,12,6,12-6,0.695153683080073,0.3922447053645162,0.8686198410480362,0.695153683080073,0.3922447053645162,0.8686198410480362,0.6398719300679571,0.8219601510326472,107.01461521468886,96.99140559320325,107.01461521468886,96.99140559320325,110.14706740546387,86.72785447162478,114.65193567810748,89.95533223330133,0.9421198509608567,22,-0.029252408424883303,1231.0,1133.0,1221.2625,1.0079733063121155,0.9277284777023777,0,0.6666666666666666,6.565431320999556,11,241,66.31596588742107
5,Baylor,B12,27-7,117.78216086625844,8,91.32586852974067,14,0.9490990472483318,5,27,7,14,4,14-4,0.7187355622053913,0.5065258155872512,0.868823420465925,0.7187355622053913,0.5065258155872512,0.868823420465925,0.6482193263619223,0.8033337026103441,106.8111394086976,96.51215868235361,106.8111394086976,96.51215868235361,118.30559835042648,92.00865297368308,125.22666730173738,97.59330474973217,0.9461979500072363,20,0.027179180150128546,1298.0,1195.0,1220.6375,1.063378767242527,0.9789966308588749,0,0.7777777777777778,8.901401019359348,2,108,67.5553092462041
6,Duke,ACC,32-7,122.71769792424448,1,95.98796887817667,53,0.9440189379441203,6,32,7,16,4,16-4,0.6895953005208642,0.4600227307349471,0.7599120843812245,0.6895953005208642,0.4600227307349471,0.7599120843812245,0.6977379677088914,0.8010230683666518,107.84944209505541,98.57374626259065,107.84944209505541,98.57374626259065,121.40261231304967,93.68679208064526,127.17335964105882,96.10497774781898,0.9616267551765145,18,0.027497234031678364,1544.0,1338.0,1336.7749999999999,1.1550186082175387,1.000916384582297,0,0.8,7.182001576807878,7,106,67.41981873562106
7,Tennessee,SEC,27-8,111.25120415913486,34,87.0870262658669,3,0.9435424580920251,7,27,8,14,4,14-4,0.7252985747759615,0.597054893416259,0.7915476527230038,0.7252985747759615,0.597054893416259,0.7915476527230038,0.6634856785839719,0.7047722114450129,107.96118454128519,96.94244036820673,107.96118454128519,96.94244036820673,110.6211809952627,89.67077505215086,117.37766653402304,93.74941534167407,0.9298814099072394,19,0.006118096032057374,1296.0,1196.0,1258.3125,1.029950827000447,0.9504793125714002,0,0.7777777777777778,7.946348269283936,4,164,67.34092880714302
8,Villanova,BE,30-8,117.16462746356862,9,92.98701151271445,26,0.9344951500923647,8,30,8,16,4,16-4,0.7440991677250872,0.6494003786986252,0.7517297511394021,0.7440991677250872,0.6494003786986252,0.7517297511394021,0.6600150364577883,0.6552655816423574,108.82417165674538,97.05038160458767,108.82417165674538,97.05038160458767,119.27515733029665,95.38551440358661,123.81625474936452,100.79503930909814,0.914170894314706,19,0.05169530473917294,1474.0,1294.0,1296.7625,1.1366769165517971,0.9978696947205058,0,0.8,7.274183155352026,6,70,62.19576344801707
9,Arizona,P12,33-4,118.0355023144002,7,93.73489013667586,35,0.9340678016715235,9,33,4,18,2,18-2,0.6479801524968996,0.5132943787859395,0.686859858625541,0.6479801524968996,0.5132943787859395,0.686859858625541,0.7375190226616365,0.78178395140594,105.68053496749764,98.77595151872094,105.68053496749764,98.77595151872094,117.62725711934678,92.96471273688587,119.87680515546495,92.59640458465084,0.9511754000352508,10,0.0928749868306038,1641.0,1365.0,1442.1750000000002,1.1378646835508865,0.9464870768110665,0,0.9,8.753951019159077,3,22,72.25699485264145
10,UCLA,P12,27-8,115.83425559045529,12,92.24759976610873,20,0.9320343257027661,10,27,8,15,5,15-5,0.6877081718970721,0.5713188727467761,0.6966875951377135,0.6877081718970721,0.5713188727467761,0.6966875951377135,0.7190398235542712,0.7523031291041323,106.90436411779399,98.10992873486246,106.90436411779399,98.10992873486246,113.6880330569397,90.9227694492094,126.0010672661838,102.14720850512164,0.9178560152929138,11,-0.011620983435309262,1471.0,1259.0,1346.85,1.092178045068122,0.9347737312989569,0,0.75,5.048274867682204,15,198,65.36695187722634
11,Kentucky,SEC,26-8,119.37140757887988,6,95.40322652836335,44,0.9293970436259068,11,26,8,14,4,14-4,0.6729027003874778,0.4801742146961529,0.7897796480093173,0.6729027003874778,0.4801742146961529,0.7897796480093173,0.6794677016655737,0.7796177159094412,106.13317258395466,97.18694997425912,106.13317258395466,97.18694997425912,120.44333744076529,95.49409558711196,126.86787737808058,98.17647035387294,0.9501861932764384,16,0.02909549681434742,1395.0,1246.0,1248.8874999999998,1.1169941247710464,0.9976879422686192,0,0.7777777777777778,6.864572259435577,9,102,67.77223840301306
12,Purdue,B10,29-8,121.5851629388118,2,97.52193076239158,86,0.9266397834095503,12,29,8,14,6,14-6,0.7054709819355541,0.4838995085381997,0.8085181404647462,0.7054709819355541,0.4838995085381997,0.8085181404647462,0.6997015708939337,0.8387747704721026,107.89136588996402,98.49963164469429,107.89136588996402,98.49963164469429,120.97803607358915,97.77740998068369,133.3982630955918,106.5084364964313,0.9301386777533365,16,0.02945012827041249,1514.0,1414.0,1340.8249999999998,1.1291555572129102,1.0545746089161525,0,0.7,6.999884707804265,8,101,66.01000864842864
13,Iowa,B10,26-10,121.11289514350904,3,97.20578456406568,81,0.9261341460386546,13,26,10,12,8,12-8,0.6694490081591615,0.40308978920221533,0.783637186431782,0.6694490081591615,0.40308978920221533,0.783637186431782,0.721113070758568,0.8648689012556834,106.954199035856,99.16984630898496,106.954199035856,99.16984630898496,118.03913009079322,96.62356482613107,130.173684977213,111.35246276713576,0.8576545433229178,13,-0.04981408041722768,1591.0,1454.0,1408.825,1.1293098858978226,1.0320657285326424,0,0.6,4.5214573647934015,16,283,69.78585863381954
14,Auburn,SEC,28-6,111.67132221531281,30,90.01156117430952,10,0.9227029003166312,14,28,6,15,3,15-3,0.7033066742335264,0.6224262391358457,0.7528170433530232,0.7033066742335264,0.6224262391358457,0.7528170433530232,0.7258848798289694,0.7944526807613375,106.79396347883548,97.70840062975927,106.79396347883548,97.70840062975927,112.77192622084739,89.58951243944475,120.63821400630329,96.41895879105796,0.9293713401527346,16,0.05261097760339306,1398.0,1231.0,1307.0625,1.0695739492181897,0.9418065318223114,0,0.8333333333333334,7.410337482893098,5,68,69.98998501069804
15,Texas,B12,22-12,112.50497190763029,24,91.49085936155839,15,0.9151125635893839,15,22,12,10,8,10-8,0.6948654159065886,0.40135620139705586,0.8727039934397418,0.6948654159065886,0.40135620139705586,0.8727039934397418,0.6376817805549517,0.8319160983391419,107.08764896466995,97.19071290402074,107.08764896466995,97.19071290402074,113.38039451336596,92.13697867413396,119.9263878680661,99.087283135089,0.8998073292185936,20,-0.019589148939795797,1210.0,1176.0,1187.175,1.0192263145703035,0.9905868974666752,0,0.5555555555555556,3.3508255295835196,25,216,63.53256836494822
16,North Carolina,ACC,29-10,114.42906706560528,17,93.45151352923509,33,0.9112418103599651,16,29,10,15,5,15-5,0.72060843555658,0.5955468127801966,0.7304350702571465,0.72060843555658,0.5955468127801966,0.7304350702571465,0.6690905036948853,0.7533981393282893,109.26944010814448,98.00667393580848,109.26944010814448,98.00667393580848,115.0157300862601,96.71017629501792,120.51974504267166,104.25079030353584,0.841263964070113,17,0.05266217484070834,1572.0,1457.0,1413.1000000000001,1.1124478097799164,1.0310664496497062,0,0.75,4.253820926572029,19,67,70.07129818286987
17,Memphis,Amer,22-11,112.44704132711657,25,92.62570867784156,23,0.9029139689421064,17,22,11,13,5,13-5,0.6935881143989373,0.6271020682445588,0.685764198358314,0.6935881143989373,0.6271020682445588,0.685764198358314,0.7206666616108321,0.7874736493101115,106.675722544063,97.58602770252502,106.675722544063,97.58602770252502,112.45841426511493,93.99355061842691,124.07025395777147,99.46434644965292,0.9270383003568148,10,-0.05913549286974906,1353.0,1225.0,1267.4499999999996,1.0674977316659437,0.9665075545386409,0,0.7222222222222222,1.3539607769269835,45,296,70.03357838239596
18,Virginia Tech,ACC,23-13,115.5610951659789,14,95.20771874383307,43,0.9027350894479331,18,23,13,11,9,11-9,0.6826082903343749,0.5093132514763644,0.7285780918826757,0.6826082903343749,0.5093132514763644,0.7285780918826757,0.7084170347353561,0.8011333553802771,107.28784684626963,98.7615821439482,107.28784684626963,98.7615821439482,114.90925220781645,99.09993004077255,114.42505850405435,96.76817693216607,0.8729637935501329,13,-0.07458626049072359,1361.0,1301.0,1235.8750000000002,1.1012440578537472,1.052695458683119,0,0.55,1.7312074780976459,40,316,63.29073398595688
19,Saint Mary's,WCC,26-8,109.78968551947182,47,90.4831873047815,11,0.9023954803997027,19,26,8,12,3,12-3,0.6332605856380291,0.5685642506408338,0.632360404597393,0.6332605856380291,0.5685642506408338,0.632360404597393,0.7340081332334849,0.8038780655667443,106.82598842898994,98.92851222075178,106.82598842898994,98.92851222075178,109.33885896448821,89.2458098199102,112.03927143606596,94.96245092260328,0.8700872822302362,12,0.026900846991846028,1056.0,910.0,981.5875000000001,1.0758083207049804,0.9270696703044812,0,0.8,3.932543203524336,22,110,63.66309741374211
20,Illinois,B10,23-10,111.9283487179899,27,92.96935251784947,25,0.8941900532100993,20,23,10,15,5,15-5,0.7303875279989395,0.5396335435040197,0.8062990195801802,0.7303875279989395,0.5396335435040197,0.8062990195801802,0.6813151453956243,0.8144038497541137,108.78641416036007,97.97594694470604,108.78641416036007,97.97594694470604,114.26881719488881,92.37703857449446,126.11654740692377,102.77406512033686,0.9132313892900502,13,0.026991700271983388,1485.0,1379.0,1366.7,1.086558864417941,1.0089997804931587,0,0.75,4.143048547540496,20,109,67.0857938426123
21,Arkansas,SEC,28-9,108.69900554380271,60,90.68724506596276,12,0.8892800486032264,21,28,9,13,5,13-5,0.6991072772261189,0.5003951570090814,0.7866833036346533,0.6991072772261189,0.5003951570090814,0.7866833036346533,0.7037475327954644,0.8750359267943342,107.29531924064148,97.831966347967,107.29531924064148,97.831966347967,109.81838756012539,89.0688705873065,112.13621116822053,95.71845163155464,0.8606245518393613,16,0.07190599986736135,1341.0,1208.0,1297.1875,1.0337749939773548,0.9312454830161407,0,0.7222222222222222,4.459650572965871,17,39,70.62642520486659
