Season,TeamID,TeamName,Gender,FinalElo,PeakElo,EloVsPeakDiff,SeasonEndRegressed
1985,1102,Air Force,M,1337.9,1512.15,-174.25,1378.43
1985,1103,Akron,M,1402.07,1519.9,-117.83,1426.55
1985,1104,Alabama,M,1731.69,1742.26,-10.57,1673.77
1985,1106,Alabama St,M,1427.33,1522.0,-94.67,1445.5
1985,1108,Alcorn St,M,1663.23,1702.1,-38.87,1622.42
1985,1109,Alliant Intl,M,1099.59,1455.0,-355.41,1199.69
1985,1110,American Univ,M,1343.0,1466.11,-123.11,1382.25
1985,1111,Appalachian St,M,1432.69,1555.7,-123.01,1449.52
1985,1112,Arizona,M,1646.09,1698.45,-52.36,1609.57
1985,1113,Arizona St,M,1430.24,1535.1,-104.86,1447.68
1985,1114,Ark Little Rock,M,1576.05,1593.49,-17.44,1557.04
1985,1116,Arkansas,M,1670.11,1670.11,0.0,1627.58
1985,1117,Arkansas St,M,1451.42,1509.44,-58.02,1463.56
1985,1119,Army,M,1540.75,1547.77,-7.02,1530.56
1985,1120,Auburn,M,1671.87,1671.87,0.0,1628.9
1985,1121,Augusta,M,1274.9,1455.0,-180.1,1331.18
1985,1122,Austin Peay,M,1288.97,1504.82,-215.85,1341.73
1985,1123,Ball St,M,1491.61,1532.19,-40.58,1493.71
1985,1124,Baylor,M,1401.07,1554.34,-153.27,1425.8
1985,1126,Bethune-Cookman,M,1259.29,1455.0,-195.71,1319.47
1985,1129,Boise St,M,1482.1,1544.76,-62.66,1486.57
1985,1130,Boston College,M,1669.49,1712.3,-42.81,1627.12
1985,1131,Boston Univ,M,1558.06,1559.4,-1.34,1543.54
1985,1132,Bowling Green,M,1426.98,1537.85,-110.87,1445.24
1985,1133,Bradley,M,1586.93,1603.13,-16.2,1565.2
1985,1134,Brooklyn,M,1434.31,1472.35,-38.04,1450.73
1985,1135,Brown,M,1361.21,1539.51,-178.3,1395.91
1985,1137,Bucknell,M,1559.53,1585.54,-26.01,1544.65
1985,1139,Butler,M,1581.25,1602.77,-21.52,1560.94
1985,1140,BYU,M,1472.43,1588.96,-116.53,1479.32
1985,1141,C Michigan,M,1353.17,1491.74,-138.57,1389.88
1985,1143,California,M,1431.71,1574.84,-143.13,1448.78
1985,1144,Campbell,M,1199.89,1455.0,-255.11,1274.92
1985,1145,Canisius,M,1592.28,1653.2,-60.92,1569.21
1985,1147,Centenary,M,1258.63,1469.0,-210.37,1318.97
1985,1149,Charleston So,M,1440.9,1501.51,-60.61,1455.68
1985,1150,Charlotte,M,1287.31,1476.0,-188.69,1340.48
1985,1151,Chattanooga,M,1604.57,1639.77,-35.2,1578.43
1985,1152,Chicago St,M,1566.46,1596.71,-30.25,1549.84
1985,1153,Cincinnati,M,1508.66,1559.13,-50.47,1506.5
1985,1154,Citadel,M,1545.45,1571.18,-25.73,1534.09
1985,1155,Clemson,M,1565.2,1655.87,-90.67,1548.9
1985,1156,Cleveland St,M,1613.84,1643.3,-29.46,1585.38
1985,1159,Colgate,M,1165.05,1479.41,-314.36,1248.79
1985,1160,Colorado,M,1417.79,1537.29,-119.5,1438.34
1985,1161,Colorado St,M,1559.86,1580.77,-20.91,1544.9
1985,1162,Columbia,M,1503.09,1508.79,-5.7,1502.32
1985,1163,Connecticut,M,1536.44,1569.48,-33.04,1527.33
1985,1165,Cornell,M,1493.78,1553.72,-59.94,1495.34
1985,1166,Creighton,M,1493.93,1664.34,-170.41,1495.45
1985,1168,CS Fullerton,M,1567.06,1583.53,-16.47,1550.3
1985,1171,Dartmouth,M,1231.71,1518.0,-286.29,1298.78
1985,1172,Davidson,M,1375.17,1479.96,-104.79,1406.38
1985,1173,Dayton,M,1622.11,1682.33,-60.22,1591.58
1985,1174,Delaware,M,1395.35,1533.49,-138.14,1421.51
1985,1175,Delaware St,M,1390.9,1480.74,-89.84,1418.18
1985,1177,DePaul,M,1659.42,1692.02,-32.6,1619.56
1985,1178,Detroit,M,1557.85,1615.15,-57.3,1543.39
