rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,South Carolina,SEC,35-2,116.29833298826557,8,67.67817555102353,1,0.9980266396720617,1,35,2,15,1,15-1,0.8681364109368918,0.8132789039524474,0.9056175900885962,0.8681364109368918,0.8132789039524474,0.9056175900885962,0.4118083156226674,0.43975530037237326,105.34330049822978,83.85262922029192,105.34330049822978,83.85262922029192,115.81334861016944,67.8494233440659,124.10829066860266,72.95392143250459,0.9977849313981564,26,0.004333363841121596,1147.0,820.0,1081.92,1.0601523217982844,0.7579118603963324,0,0.9375,15.377684570142657,1,155,65.74224919041026
2,Stanford,P12,32-4,116.49608098396249,6,74.97222579069063,5,0.993747544774247,2,32,4,16,0,16-0,0.8696453652421031,0.807796576028376,0.9039730220854723,0.8696453652421031,0.807796576028376,0.9039730220854723,0.42394346255044435,0.4347004431084998,105.11560760549293,83.87026364469833,105.11560760549293,83.87026364469833,118.45172233310127,77.85545687339882,127.75949718682278,81.84412491204442,0.9940673267574055,24,0.024363844287491943,1227.0,939.0,1107.68,1.1077206413404592,0.8477177524194712,0,1.0,14.157115188359882,2,112,68.27497274582548
3,Connecticut,BE,30-6,114.76548916647516,10,74.0999940803265,4,0.9935099042472425,3,30,6,16,1,16-1,0.7768565301205358,0.9410693221325458,0.6449284023493488,0.7768565301205358,0.9410693221325458,0.6449284023493488,0.5315762526855613,0.32352878144056174,102.74467126668361,86.05992379380761,102.74467126668361,86.05992379380761,111.06734148557787,73.07290262943403,134.64671991306344,91.42483981903874,0.9884799383335823,18,-0.0339854411171886,1332.0,863.0,1172.64,1.135898485468686,0.7359462409605676,0,0.9411764705882353,7.0360442474074745,11,258,67.04058846031647
4,N.C. State,ACC,32-4,121.17265160981131,1,78.86912433875472,15,0.9928849718564006,4,32,4,17,1,17-1,0.8326101850959012,0.7714308128393057,0.8509152076032472,0.8326101850959012,0.7714308128393057,0.8509152076032472,0.48181293442691114,0.5565008223982632,102.41689446600023,83.47514208728464,102.41689446600023,83.47514208728464,116.41533278705967,75.69846489687995,139.99948330978788,90.49802190615678,0.9934229716189563,21,0.02979519306325429,1343.0,1020.0,1257.3799999999999,1.0680939731823316,0.811210612543543,0,0.9444444444444444,13.00858645366774,3,100,66.9255808829032
5,Louisville,ACC,29-5,116.98637792928432,4,77.37384430951309,10,0.9914581583482094,5,29,5,15,2,15-2,0.7887685241956116,0.6301466634709502,0.8592609572054059,0.7887685241956116,0.6301466634709502,0.8592609572054059,0.5050846619708258,0.6287450222758749,101.48520519949501,84.6757108553045,101.48520519949501,84.6757108553045,116.98387588404388,77.41432060398793,123.90081490506546,79.44396279377538,0.9940057292115936,18,0.009012588275196909,1262.0,1004.0,1182.28,1.0674290354230809,0.8492066177216903,0,0.8823529411764706,9.230752929054605,4,146,67.27360176232396
6,North Carolina,ACC,25-7,108.44288648432774,25,72.99392338001459,3,0.9895665046081527,6,25,7,13,5,13-5,0.7486271369625215,0.4872015491308074,0.8477639690292125,0.7486271369625215,0.4872015491308074,0.8477639690292125,0.5477792850204819,0.82620858857047,100.97410265901371,86.30713001091014,100.97410265901371,86.30713001091014,102.93800755047334,71.08431956504543,111.78686460103577,77.24980854055636,0.9859338866337389,13,-0.05905718994657494,1212.0,1035.0,1299.1599999999999,0.9329104960128084,0.7966686166446012,0,0.7222222222222222,5.838904804619954,15,308,71.04571887260622
7,Texas,B12,29-7,110.51258703683888,17,76.0852834645199,6,0.9865157568295395,7,29,7,13,5,13-5,0.7788175456151278,0.5532068579554331,0.8645021462247566,0.7788175456151278,0.5532068579554331,0.8645021462247566,0.503497280364845,0.6664116146010963,102.43875036630624,86.04799210079534,102.43875036630624,86.04799210079534,107.07464065168104,75.25675202081388,117.5550841102046,78.74047451703895,0.9901327877567512,21,0.001410904953523584,1196.0,1026.0,1228.68,0.9734023504899566,0.8350424846176384,0,0.7222222222222222,9.118837337639789,5,164,66.6531554183416
8,Baylor,B12,28-7,116.42972556535727,7,80.72365981962028,24,0.9853988453336886,8,28,7,15,3,15-3,0.7642626473006459,0.5831020258150187,0.8646292662810642,0.7642626473006459,0.5831020258150187,0.8646292662810642,0.5530651046991747,0.7003283237666587,100.03465009123498,86.71077081130858,100.03465009123498,86.71077081130858,119.84634002835274,81.63379657921605,123.95808981852134,85.89788730033727,0.9854859729324413,16,-0.03895034488811888,1409.0,1145.0,1286.0200000000002,1.0956283728091318,0.8903438515730703,0,0.8333333333333334,8.49166298740491,6,271,68.4404585953804
9,BYU,WCC,26-4,111.64834328182249,14,79.8037362759101,20,0.9793972724489501,9,26,4,15,1,15-1,0.6643794242690435,0.642649924812672,0.6336391801949481,0.6643794242690435,0.642649924812672,0.6336391801949481,0.6885581378656289,0.6802148466124345,98.58987684451704,90.2981859621316,98.58987684451704,90.2981859621316,113.81298430946487,76.05729954166223,113.76486694297624,83.56518828765445,0.9720183924978321,8,-0.01850270456610381,1283.0,876.0,1122.6,1.1428825939782647,0.780331373597007,0,0.9375,5.5059818203304385,18,225,67.53833019158358
10,Iowa St.,B12,28-7,117.88378298075412,3,85.43570269853885,63,0.9759260029703317,10,28,7,14,4,14-4,0.7939028890826668,0.6477082266762934,0.8657065373626855,0.7939028890826668,0.6477082266762934,0.8657065373626855,0.5373839351609705,0.6827146445158815,101.2486014874972,85.55313331720525,101.2486014874972,85.55313331720525,118.62293207346869,85.73920281568864,124.57577714830855,90.42626505454768,0.9755020607102413,18,0.027375594476859222,1334.0,1181.0,1246.96,1.0698017578751524,0.947103355360236,0,0.7777777777777778,8.465832851509644,7,105,67.02301472151011
