rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Connecticut,BE,34-0,127.91864222911369,2,65.1823176263513,1,0.9995708915090301,1,34.99951193922906,0.0004880607709407237,20.0,0.0,20-0,0.818278277007372,0.8784660821644779,0.7745992611430694,0.811720301692231,0.8784660821644779,0.7745992611430694,0.5390087870775907,0.336129477452275,102.24679204776015,85.04123620115793,101.82794763517283,85.03710745231352,125.19618185273686,65.1354112350699,133.29424133704634,66.87583935843875,0.9996409876153723,10.0,0.010501083896971353,1781.0,951.0,1467.2800000000002,1.2138105882994383,0.6481380513603401,0.0,1.0,13.61080711490754,4,149,71.80635350512135
2,UCLA,B10,31-1,133.49588512664195,1,72.35597752646584,4,0.9991276392104844,2,31.998818265870245,1.0011817341297558,18.0,0.0,18-0,0.843645569725137,0.683068446664853,0.9177588947989302,0.8371830130628277,0.683068446664853,0.9177588947989302,0.3777562328412011,0.5149848071659267,107.84210752020698,83.46791443764653,107.49798940438794,83.72978080437564,133.23022334268757,71.91875219548861,135.44832659096733,72.90161497726096,0.999195120962026,20.0,0.02575359934528254,1507.0,1053.0,1251.1,1.2045400047957797,0.8416593397809928,0.0,1.0,17.776690479937123,1,98,66.94199307283981
3,Texas,SEC,31-3,125.28312073965859,6,70.05138129169067,2,0.9987526579541681,3,31.0,3.0,13.0,3.0,13-3,0.7703116539444607,0.5460456183734164,0.9404475550302444,0.7703116539444607,0.5460456183734164,0.9404475550302444,0.42124987029629596,0.6369871920831258,106.29016026529216,85.50066324850252,106.29016026529216,85.50066324850252,121.15673110689735,70.32094263178809,126.77938960564968,70.05791658425537,0.9989105055125954,21.0,0.020274428448477155,1241.0,967.0,1153.6000000000001,1.075762829403606,0.8382454923717059,0.0,0.8125,15.018051692811154,3,121,70.55220301973829
4,South Carolina,SEC,31-3,126.63920715158923,4,71.35163504608161,3,0.9986384945326459,4,31.0,3.0,15.0,1.0,15-1,0.7960321175295453,0.6016652525919111,0.9409752302540494,0.7960321175295453,0.6016652525919111,0.9409752302540494,0.41769765887175964,0.6391346748344885,105.7587578203471,83.38385524048846,105.7587578203471,83.38385524048846,125.19105368430843,70.26827973259587,125.99298722847527,71.3746669360529,0.9985507478914465,20.0,0.01685761561716148,1313.0,960.0,1169.8400000000001,1.1223757094987348,0.8206250427408875,0.0,0.9375,15.105895186908457,2,131,70.20825641797578
5,LSU,SEC,27-5,127.12037118405188,3,74.94330810443142,7,0.9977093555817724,5,27.99806757571219,5.001932424287807,12.0,4.0,12-4,0.6753639344900386,0.3294315215092737,0.9382722932402366,0.670501187990874,0.3294315215092737,0.9382722932402366,0.5214123879141803,0.852045657407767,101.82949547201964,86.62274103954583,101.5231102382174,86.76280169291375,124.50908190807664,74.64238521705346,128.89562385885364,76.16041160584842,0.9976496863037999,16.0,-0.026701978236088997,1322.0,1049.0,1197.4800000000002,1.103985035240672,0.8760062798543606,0.0,0.75,9.388936422899556,9,250,75.47411566435011
6,Michigan,B10,25-6,116.88878316427906,10,73.56372452280269,6,0.9951567540829345,6,25.996744237724705,6.003255762275294,15.0,3.0,15-3,0.7942468899256383,0.546240644146447,0.9248978983635902,0.7837364738473204,0.546240644146447,0.9248978983635902,0.42873442157381264,0.6457372629940367,107.62086117148301,85.7704949118935,106.96016629501328,85.83257078274087,119.0584855474073,75.4413580284688,116.7569803455856,74.02015169400123,0.9947340247765487,19.0,-0.009515204830148227,1489.0,1231.0,1370.6399999999999,1.086353820113232,0.8981205860036189,0.0,0.8333333333333334,10.625496302685102,6,194,72.33401945093597
7,Duke,ACC,24-8,112.69569797084625,25,72.66529171026917,5,0.9936093938792825,7,24.992567683472416,8.007432316527584,16.0,2.0,16-2,0.8224684931975496,0.8030010133079878,0.810743366041402,0.8155564504664414,0.8030010133079878,0.810743366041402,0.4442759376421764,0.44531457797742263,105.66889106240667,83.90680869939796,105.38954706399777,84.19141458336394,114.93599770819284,71.89328315810512,111.73960133988629,74.97562260432905,0.989935184039094,19.0,-0.060150334734454414,1384.0,1009.0,1288.64,1.0740004966476284,0.7829960268189718,0.0,0.8888888888888888,8.259477971542953,11,317,70.08348894368432
8,Minnesota,B10,22-8,116.45179665700674,13,77.05664083503352,12,0.9914120637577558,8,22.980173210878778,8.019826789121222,13.0,5.0,13-5,0.7551159244091964,0.4726449031110125,0.914734145420559,0.7548260965112655,0.4726449031110125,0.914734145420559,0.4918525045367823,0.779372367367563,104.8501819104158,86.71769370089436,104.5807203683422,86.75459763449905,120.02321806012424,79.25621061555097,114.8802110372331,79.0221175418748,0.9866508674654805,15.0,-0.06922747386401695,1346.0,1177.0,1240.1000000000001,1.0853963390049188,0.9491170066930085,0.0,0.7222222222222222,5.932453990752351,17,339,65.85818498064634
9,Iowa,B10,26-6,115.13447338235125,17,76.70226722660149,10,0.9907234836138673,9,26.990442242470614,6.009557757529388,15.0,3.0,15-3,0.8465897170606808,0.6757104994289894,0.9273750421532999,0.8380468554926583,0.6757104994289894,0.9273750421532999,0.41103372068294003,0.6389557369465468,109.38604348937034,84.50378703536828,108.93009522417324,84.73789985804893,118.58251467176362,77.63976501865692,115.75911417827295,77.59258831954637,0.9900526748823975,19.0,0.07890355642977787,1384.0,1212.0,1294.7799999999997,1.0689074591822552,0.9360663587636512,0.0,0.8333333333333334,11.471305031494227,5,24,69.96093152137325
10,Vanderbilt,SEC,27-4,125.88517081013893,5,83.97463228781427,48,0.9905835588966072,10,27.993814571352537,4.006185428647465,13.0,3.0,13-3,0.7354070971592951,0.48507113706581023,0.939032224105659,0.72654353111964,0.48507113706581023,0.939032224105659,0.49928817586825985,0.7560865503816013,103.00453029560504,85.99020195710791,102.64619202553612,86.21210302614747,129.7657702745236,84.25794444960515,128.6548552334071,84.61636516296338,0.9919863599875954,17.0,0.09311958509903695,1343.0,1171.0,1178.76,1.1393328582578304,0.9934168108860159,0.0,0.8125,10.367952691967124,7,17,71.1618671445337
